20061021,TUSCHY,3862,25,13,-9999,-9999,-9999,1526,271,195,-9999,-9999,-9999,280,99,73,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20061022,dahl,5015,151,99,5568,1,1,634,201,144,835,0,0,37,25,22,62,0,0,0,0,0,0,0,0
20061023,Groenemeijer,4689,38,26,5130,0,0,607,125,111,732,0,0,354,137,112,485,6,7,57,56,46,106,7,7
20061024,VAN DER VELDE,4770,21,21,5106,1,1,826,75,75,987,1,1,317,54,54,371,0,0,0,0,0,0,0,0
20061025,Gatzen,5291,64,30,5757,1,1,513,103,74,616,0,0,21,71,68,92,0,0,0,0,0,0,0,0
20061026,Gatzen,5468,50,34,5918,3,3,438,107,80,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061027,dahl,5914,23,7,6315,25,26,98,28,17,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061028,dahl,6032,31,20,6463,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061029,dahl,5398,233,192,6033,1,1,128,69,58,197,0,0,186,49,44,232,3,3,0,0,0,0,0,0
20061030,Groenemeijer,5461,33,31,5896,1,1,336,62,60,398,0,0,6,165,165,171,0,0,0,0,0,0,0,0
20061031,VAN DER VELDE,5239,7,6,5648,1,1,600,65,64,664,1,1,123,29,29,152,0,0,0,0,0,0,0,0
20061101,Gatzen,5459,32,17,5892,2,2,423,32,21,453,2,2,94,23,23,117,0,0,0,0,0,0,0,0
20061102,Gatzen,5329,45,16,5775,2,2,435,96,74,531,0,0,52,106,99,158,0,0,0,0,0,0,0,0
20061103,TUSCHY,5357,69,39,5828,1,1,399,101,76,500,0,0,85,52,44,137,0,0,0,0,0,0,0,0
20061104,dahl,5657,65,42,-9999,-9999,-9999,225,40,28,-9999,-9999,-9999,50,26,24,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20061105,dahl,5682,100,49,6185,0,0,180,23,18,203,0,0,30,48,40,78,0,0,0,0,0,0,0,0
20061106,Groenemeijer/Verge,5276,34,20,-9999,-9999,-9999,624,129,100,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20061107,VAN DER VELDE,5680,11,6,-9999,-9999,-9999,271,53,42,-9999,-9999,-9999,48,0,0,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20061108,Gatzen,5562,21,6,-9999,-9999,-9999,439,41,26,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
